Support	R	EN	QN	Subshell	Ion_OE	Auxiliary_type	Auxiliary_zval	DFT_x1	DFT_x2	DFT_x3	DFT_x4	DFT_x5	DFT_x6	DFT_x7	DFT_p1	DFT_p2	DFT_p3	pbe0_x1	pbe0_x2	pbe0_x3	pbe0_x4	pbe0_x5	pbe0_x6	pbe0_x7	pbe0_p1	pbe0_p2	pbe0_p3
a-TiO2	147	1.54	3	5	0	2	2.7	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.17781	0.16173	0.38037	0.16173	0.3661	0	0	1.554285	1.554585	1.55429
r-TiO2	147	1.54	3	5	0	2	2.7	0.26815	0.26906	0.18476	0.26906	0.17583	0	0	1.66049	1.62748	1.66049	0.29389	0.2847	0.19798	0.2847	0.17009	0	0	1.57903	1.53005	1.57903
CeO2	204	1.12	4	7	0	2	7.6	0.08463	0.22705	0.06966	0.10708	0.06966	0.04721	0.08463	1.7503	1.7503	1.7503	0.05782	0.17793	0.04824	0.07219	0.04824	0.03387	0.05782	1.69136	1.69136	1.69136
Cu2O	145	1.9	3	5	10	2	3.1	1.88547	1.88547	2.01514	1.88547	2.01514	0	0	1.49502	1.49502	1.49502	1.9093	1.9093	2.02691	1.9093	2.02691	0	0	1.46992	1.46992	1.46992
WO3	139	2.36	5	5	0	0	0	0.39437625	0.4163175	0.3796725	0.40005625	0.36303875	0	0	1.532489583	1.54704375	1.506700833	0.3958725	0.42055375	0.3942	0.40400625	0.37909	0	0	1.503785833	1.517317083	1.475504167
Y2O3	180	1.22	4	5	0	1	4	0.0703275	0.0703275	0.03798	0.070325	0.0379775	0	0	1.74411875	1.744116667	1.74411	0.10898	0.108980625	0.0452075	0.10898	0.04521	0	0	1.644751875	1.644753333	1.644748958
ZrO2	155	1.33	4	5	0	1	3.5	0.12334	0.16876	0.14038	0.1801	0.09096	0	0	2.083645	1.25095	2.01872	0.15828	0.23049	0.17825	0.243905	0.11053	0	0	2.00717	1.1880025	1.940865
MoO3	145	2.16	4	5	0	0	0	0.54009	0.4931125	0.46878	0.469385	0.52024	0	0	1.566588333	1.405505	1.536796667	0.55132	0.516295	0.49655	0.47789	0.54938	0	0	1.540789167	1.35049	1.496063333
LiCoO2	135	1.88	3	5	6	2	5.4	1.45115	0.99449	2.02141	1.09468	1.54812	0	0	0.979222	1.73854	0.974145	1.48825	1.02166	2.0402	1.03096	1.50002	0	0	1.546303333	1.662895	1.55042
LiFePO4	139	1.55	3	5	6	2	3.2	1.38009	0.83042	2.02457	0.82655	1.35811	0	0	1.4651475	1.408155	1.43974	1.42099	0.78297	2.04	0.8667	1.32487	0	0	1.4173825	1.3569275	1.3931275
