Material	U	c1	c2	J2
Anatase	0.0	1.0	-0.036734694	5.456663768
Anatase	0.102040816	0.5	-0.036734694	5.176453244
Anatase	0.204081633	0.5	-0.53877551	5.400802643
Anatase	0.306122449	0.5	-0.563265306	5.25766487
Anatase	0.408163265	0.5	-0.587755102	5.099083432
Anatase	0.510204082	0.5	-0.6	4.961323056
Anatase	0.612244898	0.5	-0.6	4.85950576
Anatase	0.714285714	0.5	-0.6	4.818542585
Anatase	0.816326531	0.5	-0.6	4.792523157
Anatase	0.918367347	0.5	-0.6	4.752199475
Anatase	1.020408163	0.5	-0.6	4.69748913
Anatase	1.12244898	0.510204082	-0.6	4.653536886
Anatase	1.224489796	0.571428571	-0.6	4.622292162
Anatase	1.326530612	0.62244898	-0.6	4.618367697
Anatase	1.428571429	0.663265306	-0.6	4.656452293
Anatase	1.530612245	0.704081633	-0.6	4.733953595
Anatase	1.632653061	0.734693878	-0.6	4.835386685
Anatase	1.734693878	0.765306122	-0.6	4.936800511
Anatase	1.836734694	0.795918367	-0.6	5.012990273
Anatase	1.93877551	0.816326531	-0.6	5.043390407
Anatase	2.040816327	0.836734694	-0.6	5.02241995
Anatase	2.142857143	0.857142857	-0.6	4.959952768
Anatase	2.244897959	0.87755102	-0.6	4.878443614
Anatase	2.346938776	0.887755102	-0.6	4.801193088
Anatase	2.448979592	0.908163265	-0.6	4.746586784
Anatase	2.551020408	0.918367347	-0.6	4.718681454
Anatase	2.653061224	0.928571429	-0.6	4.715105743
Anatase	2.755102041	0.93877551	-0.6	4.72680971
Anatase	2.857142857	0.959183673	-0.6	4.742749777
Anatase	2.959183673	0.969387755	-0.6	4.753006166
Anatase	3.06122449	0.979591837	-0.6	4.751289057
Anatase	3.163265306	0.979591837	-0.6	4.737095388
Anatase	3.265306122	0.989795918	-0.6	4.716977959
Anatase	3.367346939	1.0	-0.6	4.702169506
Anatase	3.469387755	1.0	-0.6	4.705845695
Anatase	3.571428571	1.0	-0.6	4.730697606
Anatase	3.673469388	1.0	-0.6	4.771756826
Anatase	3.775510204	1.0	-0.6	4.822704464
Anatase	3.87755102	1.0	-0.6	4.879660172
Anatase	3.979591837	1.0	-0.6	4.942260894
Anatase	4.081632653	1.0	-0.587755102	5.005245041
Anatase	4.183673469	1.0	-0.575510204	5.039029015
Anatase	4.285714286	1.0	-0.563265306	5.070391457
Anatase	4.387755102	1.0	-0.563265306	5.099416978
Anatase	4.489795918	1.0	-0.551020408	5.132416133
Anatase	4.591836735	0.989795918	-0.53877551	5.184891085
Anatase	4.693877551	0.979591837	-0.526530612	5.23730519
Anatase	4.795918367	0.969387755	-0.526530612	5.281885841
Anatase	4.897959184	0.959183673	-0.514285714	5.32285401
Anatase	5.0	0.93877551	-0.489795918	5.413594286
CeO2	0.0	0.989795918	-0.024489796	6.240554429
CeO2	0.102040816	0.5	-0.024489796	5.922431491
CeO2	0.204081633	0.5	-0.024489796	5.908769762
CeO2	0.306122449	0.5	-0.024489796	5.899919585
CeO2	0.408163265	0.5	0.0	5.868864973
CeO2	0.510204082	0.5	0.0	5.808262148
CeO2	0.612244898	0.5	0.0	5.756815379
CeO2	0.714285714	0.5	-0.12244898	5.696020721
CeO2	0.816326531	0.5	-0.134693878	5.613617186
CeO2	0.918367347	0.5	-0.146938776	5.535353134
CeO2	1.020408163	0.5	-0.159183673	5.462257172
CeO2	1.12244898	0.5	-0.171428571	5.39293036
CeO2	1.224489796	0.5	-0.183673469	5.326027278
CeO2	1.326530612	0.5	-0.195918367	5.262365821
CeO2	1.428571429	0.5	-0.208163265	5.204037768
CeO2	1.530612245	0.5	-0.220408163	5.151433478
CeO2	1.632653061	0.5	-0.244897959	5.104713826
CeO2	1.734693878	0.5	-0.257142857	5.064766205
CeO2	1.836734694	0.5	-0.281632653	5.033327438
CeO2	1.93877551	0.5	-0.318367347	5.011321679
CeO2	2.040816327	0.5	-0.379591837	4.995389789
CeO2	2.142857143	0.5	-0.6	4.930108986
CeO2	2.244897959	0.5	-0.6	4.877948626
CeO2	2.346938776	0.5	-0.6	4.849624971
CeO2	2.448979592	0.5	-0.6	4.84942722
CeO2	2.551020408	0.520408163	-0.6	4.879073164
CeO2	2.653061224	0.56122449	-0.6	4.91312492
CeO2	2.755102041	0.612244898	-0.6	4.944849594
CeO2	2.857142857	0.683673469	-0.53877551	4.951597936
CeO2	2.959183673	0.714285714	-0.53877551	4.953081538
CeO2	3.06122449	0.744897959	-0.551020408	4.952215777
CeO2	3.163265306	0.775510204	-0.551020408	4.953575425
CeO2	3.265306122	0.795918367	-0.551020408	4.957386189
CeO2	3.367346939	0.826530612	-0.551020408	4.960619412
CeO2	3.469387755	0.846938776	-0.563265306	4.963024007
CeO2	3.571428571	0.5	-0.012244898	4.754763696
CeO2	3.673469388	0.510204082	-0.012244898	4.33077639
CeO2	3.775510204	0.520408163	-0.012244898	3.973254293
CeO2	3.87755102	0.530612245	-0.012244898	3.796511421
CeO2	3.979591837	0.540816327	-0.012244898	3.960107474
CeO2	4.081632653	0.540816327	-0.012244898	4.603775548
CeO2	4.183673469	0.989795918	-0.563265306	4.988211591
CeO2	4.285714286	1.0	-0.563265306	5.002740217
CeO2	4.387755102	1.0	-0.563265306	5.030091436
CeO2	4.489795918	1.0	-0.575510204	5.064637052
CeO2	4.591836735	0.602040816	-0.024489796	5.103389894
CeO2	4.693877551	0.602040816	-0.024489796	5.119583097
CeO2	4.795918367	0.612244898	-0.024489796	5.12519429
CeO2	4.897959184	0.62244898	-0.024489796	5.133482324
CeO2	5.0	0.62244898	-0.024489796	5.152600502
Cu2O	0.0	1.0	0.0	3.793318482
Cu2O	0.102040816	0.5	0.0	5.498568409
Cu2O	0.204081633	0.5	-0.551020408	5.437860379
Cu2O	0.306122449	0.642857143	-0.6	4.364904574
Cu2O	0.408163265	0.785714286	-0.6	4.409102294
Cu2O	0.510204082	0.857142857	-0.6	4.522828127
Cu2O	0.612244898	0.918367347	-0.6	4.601216495
Cu2O	0.714285714	0.948979592	-0.6	4.468932364
Cu2O	0.816326531	0.979591837	-0.6	4.686323801
Cu2O	0.918367347	1.0	-0.6	5.392186806
Cu2O	1.020408163	1.0	-0.6	6.185881053
Cu2O	1.12244898	1.0	-0.6	6.806066536
Cu2O	1.224489796	1.0	-0.6	7.200686083
Cu2O	1.326530612	1.0	-0.6	7.398687353
Cu2O	1.428571429	1.0	-0.6	7.441972268
Cu2O	1.530612245	1.0	-0.6	7.366857905
Cu2O	1.632653061	1.0	-0.6	7.204714338
Cu2O	1.734693878	1.0	-0.6	6.98694076
Cu2O	1.836734694	1.0	-0.6	6.748295504
Cu2O	1.93877551	1.0	-0.6	6.526674948
Cu2O	2.040816327	1.0	-0.587755102	6.358769979
Cu2O	2.142857143	1.0	-0.587755102	6.27445256
Cu2O	2.244897959	1.0	-0.575510204	6.304035224
Cu2O	2.346938776	1.0	-0.575510204	6.470189781
Cu2O	2.448979592	1.0	-0.563265306	6.781440268
Cu2O	2.551020408	1.0	-0.563265306	7.228869592
Cu2O	2.653061224	1.0	-0.551020408	7.767079686
Cu2O	2.755102041	1.0	-0.551020408	8.319733427
Cu2O	2.857142857	1.0	-0.53877551	8.801070746
Cu2O	2.959183673	1.0	-0.53877551	9.15468299
Cu2O	3.06122449	1.0	-0.53877551	9.414077359
Cu2O	3.163265306	1.0	-0.526530612	9.701065186
Cu2O	3.265306122	1.0	-0.526530612	10.18973112
Cu2O	3.367346939	1.0	-0.526530612	11.0300764
Cu2O	3.469387755	1.0	-0.526530612	12.2660857
Cu2O	3.571428571	1.0	-0.526530612	13.81550399
Cu2O	3.673469388	1.0	-0.514285714	15.5057851
Cu2O	3.775510204	1.0	-0.514285714	17.15034688
Cu2O	3.87755102	1.0	-0.514285714	18.59896756
Cu2O	3.979591837	1.0	-0.514285714	19.76190355
Cu2O	4.081632653	1.0	-0.502040816	20.60270286
Cu2O	4.183673469	1.0	-0.502040816	21.11646884
Cu2O	4.285714286	1.0	-0.502040816	21.31765695
Cu2O	4.387755102	1.0	-0.502040816	21.22166144
Cu2O	4.489795918	1.0	-0.502040816	20.84362939
Cu2O	4.591836735	1.0	-0.489795918	20.20118914
Cu2O	4.693877551	1.0	-0.489795918	19.31868412
Cu2O	4.795918367	1.0	-0.489795918	18.24311887
Cu2O	4.897959184	1.0	-0.489795918	17.04092591
Cu2O	5.0	1.0	-0.489795918	15.79732319
LiCoO2	0.0	0.744897959	-0.183673469	27.0737636
LiCoO2	0.102040816	1.0	-0.024489796	27.81399906
LiCoO2	0.204081633	1.0	-0.012244898	27.08855486
LiCoO2	0.306122449	1.0	0.0	26.34233022
LiCoO2	0.408163265	1.0	0.0	25.62393441
LiCoO2	0.510204082	1.0	0.0	24.96304343
LiCoO2	0.612244898	1.0	0.0	24.35450048
LiCoO2	0.714285714	1.0	0.0	23.78705515
LiCoO2	0.816326531	1.0	0.0	23.24836642
LiCoO2	0.918367347	1.0	0.0	22.72767318
LiCoO2	1.020408163	1.0	0.0	22.21678541
LiCoO2	1.12244898	1.0	0.0	21.71002606
LiCoO2	1.224489796	1.0	0.0	21.20368216
LiCoO2	1.326530612	1.0	0.0	20.6953544
LiCoO2	1.428571429	1.0	0.0	20.18341304
LiCoO2	1.530612245	1.0	0.0	19.66663101
LiCoO2	1.632653061	1.0	0.0	19.14398431
LiCoO2	1.734693878	1.0	0.0	18.61457429
LiCoO2	1.836734694	1.0	0.0	18.07762048
LiCoO2	1.93877551	1.0	0.0	17.53248094
LiCoO2	2.040816327	1.0	0.0	16.9786727
LiCoO2	2.142857143	1.0	0.0	16.4158798
LiCoO2	2.244897959	1.0	0.0	15.84395008
LiCoO2	2.346938776	1.0	0.0	15.26289027
LiCoO2	2.448979592	1.0	0.0	14.67287294
LiCoO2	2.551020408	1.0	0.0	14.07426677
LiCoO2	2.653061224	1.0	0.0	13.46769519
LiCoO2	2.755102041	1.0	0.0	12.85411805
LiCoO2	2.857142857	1.0	0.0	12.23492032
LiCoO2	2.959183673	1.0	0.0	11.61198352
LiCoO2	3.06122449	1.0	0.0	10.98771355
LiCoO2	3.163265306	1.0	0.0	10.36500498
LiCoO2	3.265306122	1.0	0.0	9.747137062
LiCoO2	3.367346939	1.0	0.0	9.137617874
LiCoO2	3.469387755	1.0	0.0	8.540015479
LiCoO2	3.571428571	1.0	0.0	7.957833069
LiCoO2	3.673469388	1.0	0.0	7.394494172
LiCoO2	3.775510204	1.0	0.0	6.853502255
LiCoO2	3.87755102	1.0	0.0	6.338826119
LiCoO2	3.979591837	1.0	0.0	5.85553654
LiCoO2	4.081632653	1.0	0.0	5.410670321
LiCoO2	4.183673469	1.0	0.0	5.014195567
LiCoO2	4.285714286	1.0	0.0	4.679746661
LiCoO2	4.387755102	1.0	0.0	4.424467034
LiCoO2	4.489795918	1.0	0.0	4.267028412
LiCoO2	4.591836735	1.0	0.0	4.223310739
LiCoO2	4.693877551	1.0	0.0	4.300945911
LiCoO2	4.795918367	1.0	0.0	4.495866121
LiCoO2	4.897959184	1.0	0.0	4.793315525
LiCoO2	5.0	1.0	0.0	5.172396039
LiFePO4	0.0	0.836734694	-0.183673469	14.38537662
LiFePO4	0.102040816	0.5	0.0	11.72766739
LiFePO4	0.204081633	0.5	-0.195918367	13.59090528
LiFePO4	0.306122449	0.5	-0.342857143	11.14681367
LiFePO4	0.408163265	0.5	-0.6	11.89066907
LiFePO4	0.510204082	0.591836735	-0.6	13.91206529
LiFePO4	0.612244898	0.5	-0.416326531	13.46953292
LiFePO4	0.714285714	0.755102041	-0.6	12.42896065
LiFePO4	0.816326531	0.806122449	-0.6	12.7506591
LiFePO4	0.918367347	0.846938776	-0.6	14.46618753
LiFePO4	1.020408163	0.87755102	-0.6	16.5682821
LiFePO4	1.12244898	0.908163265	-0.6	18.12066011
LiFePO4	1.224489796	0.928571429	-0.6	18.8668463
LiFePO4	1.326530612	0.948979592	-0.6	19.05439482
LiFePO4	1.428571429	0.959183673	-0.6	19.056862
LiFePO4	1.530612245	0.979591837	-0.6	19.15208353
LiFePO4	1.632653061	0.989795918	-0.6	19.47078636
LiFePO4	1.734693878	1.0	-0.6	20.02748613
LiFePO4	1.836734694	1.0	-0.6	20.77201969
LiFePO4	1.93877551	1.0	-0.6	21.62904233
LiFePO4	2.040816327	1.0	-0.6	22.52425865
LiFePO4	2.142857143	1.0	-0.6	23.39748563
LiFePO4	2.244897959	1.0	-0.6	24.20635952
LiFePO4	2.346938776	1.0	-0.6	24.92493843
LiFePO4	2.448979592	1.0	-0.6	25.54017836
LiFePO4	2.551020408	1.0	-0.6	26.0480909
LiFePO4	2.653061224	1.0	-0.6	26.45045339
LiFePO4	2.755102041	1.0	-0.6	26.75234863
LiFePO4	2.857142857	1.0	-0.6	26.96050483
