test,OMR,U,O_error,M_error,R
t,1,0.5,20.47826677,-41.52070377,0.26757392
t,1,1,25.22010084,-67.2110648,0.26757392
t,1,0.5,19.24850142,-26.9581475,0.26757392
t,1,1,22.55084393,-45.12582801,0.26757392
t,1,0.5,18.07277692,-14.25919513,0.26757392
t,1,1,20.06783202,-26.91480822,0.26757392
t,1,1.5,22.17193488,-39.74948558,0.26757392
t,1,0.5,16.95141454,-3.370862048,0.26757392
t,1,1,17.74275879,-12.54842095,0.26757392
t,1,1.5,18.55083058,-21.76064627,0.26757392
t,1,0.5,15.87219083,5.7677264,0.26757392
t,1,1,15.52866069,-1.859813543,0.26757392
t,1,1.5,15.14170371,-9.412151227,0.26757392
t,1,0.5,14.82449066,13.20800314,0.26757392
t,1,1,13.37053187,5.277128434,0.26757392
t,1,1.5,11.81138247,-2.47434367,0.26757392
t,1,0.5,19.14426424,-114.994638,0.26757392
t,1,1,22.24908373,-128.2702828,0.26757392
t,1,1.5,25.48868256,-141.5687673,0.26757392
t,1,0.5,14.14865145,-80.50083938,0.26757392
t,1,1,11.93296707,-86.60607076,0.26757392
t,1,1.5,9.508835352,-92.48099098,0.26757392
t,1,2,6.857920357,-98.10241024,0.26757392
t,1,0.5,20.0157258,56.22858649,0.26757392
t,1,0.5,15.44339662,115.7641447,0.26757392
t,1,2.375820348,20.35620986,2.769429034,2.218197816
t,1,0.409576525,16.82418425,5.281872672,0.262655953
t,1,0.750155026,10.72450572,20.21186857,0.097773389
t,1,0.310253131,6.982012627,-11.76071901,2.218197816
t,1,0.510037173,9.03570019,-38.32861802,0.590661659
t,0,1.5,30.35147472,-93.22348491,0.26757392
t,0,2,35.7942187,-119.0384623,0.26757392
t,0,2.5,41.41901862,-144.0742067,0.26757392
t,0,3,47.08240913,-167.8843107,0.26757392
t,0,1.5,26.10312499,-63.6554375,0.26757392
t,0,2,29.9204621,-82.49239316,0.26757392
t,0,2.5,34.00607063,-101.5355274,0.26757392
t,0,3,38.3634861,-120.7119004,0.26757392
t,0,2,24.40181238,-52.77142194,0.26757392
t,0,2.5,26.77322639,-65.98163344,0.26757392
t,0,3,29.32542005,-79.4431259,0.26757392
t,0,2,28.86209541,-154.8339629,0.26757392
t,0,2.5,32.35999336,-168.0338555,0.26757392
t,0,3,35.97336933,-181.1075854,0.26757392
t,0,1,24.46197448,25.34594489,0.26757392
t,0,1.5,29.67058487,-7.781065827,0.26757392
t,0,2,35.69526364,-42.74864129,0.26757392
t,0,2.5,42.31854812,-78.14668132,0.26757392
t,0,3,49.22101491,-112.3971675,0.26757392
t,0,1.740100404,21.93804179,-86.26844979,0.443383748
t,0,1.219560172,36.0546218,-204.4821873,0.17940971
t,0,1.497187491,10.36790448,-38.57829918,0.590661659
t,0,1.021974744,14.22442982,-47.63977766,0.443383748
t,0,0.815602517,12.15993571,-35.08595801,0.443383748
t,0,1.214195314,16.35413963,-67.22149374,0.443383748
t,0,0.757889791,28.38220782,-188.6689356,0.17940971
t,0,1.048467125,28.38220782,-188.6689356,0.17940971
t,0,1.231214068,37.88230733,-241.9837867,0.17940971
t,0,1.482328798,40.37197435,-303.7885913,0.17940971
t,0,1.120283377,9.203474661,-24.2120895,0.590661659
t,0,0.910003684,9.374571683,-33.95757288,0.590661659
t,0,1.167639498,10.76853926,-61.12861493,0.590661659
