# [sin((M_error^2)), ((R + O_error) / ln(R))]
# Property Label: $OMR$; Unit of the Property: Unitless
# # Samples in Convex Hull Overlap Region: 5;# Samples SVM Misclassified: 4
# Decision Boundaries
# Task   w0                      w1                      b
# all__1.0_0.0,  1.153371004811275e+00, -7.409952283106281e-01, -1.348038181644189e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         2|sq|sin; sin((M_error^2)); $\left(\sin{ \left(M_{error}^2\right) }\right)$; sin((M_error).^2); M_error;[-1.000000000000000e+00, 1.000000000000000e+00]
# 1;  2; Unitless;                                         3|1|add|3|log|div; ((R + O_error) / ln(R)); $\left(\frac{ \left(R + O_{error}\right) }{ \left(\ln{ R }\right) } \right)$; ((R + O_error) ./ log(R)); R,O_error,R
# Number of Samples Per Task
# Task, n_samples               
# all , 62                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
t           ,  1.000000000000000e+00,  1.000000000000000e+00,  6.929158197002585e-01, -1.573610387565846e+01
t           ,  1.000000000000000e+00,  0.000000000000000e+00, -2.792417077397563e-01, -1.933287272208193e+01
t           ,  1.000000000000000e+00,  1.000000000000000e+00, -8.592560903644925e-01, -1.480330411210810e+01
t           ,  1.000000000000000e+00,  1.000000000000000e+00,  5.549593183421685e-01, -1.730819198562828e+01
t           ,  1.000000000000000e+00,  1.000000000000000e+00,  7.700226987229347e-01, -1.391149533281506e+01
t           ,  1.000000000000000e+00,  1.000000000000000e+00,  9.638255915258347e-01, -1.542478152643724e+01
t           ,  1.000000000000000e+00,  1.000000000000000e+00,  1.981801362563458e-01, -1.702078246295219e+01
t           ,  1.000000000000000e+00,  1.000000000000000e+00, -9.333589505105424e-01, -1.306092122701653e+01
t           ,  1.000000000000000e+00,  1.000000000000000e+00,  3.739233644994934e-01, -1.366117047723889e+01
t           ,  1.000000000000000e+00,  1.000000000000000e+00,  7.544164240138357e-01, -1.427410787594159e+01
t           ,  1.000000000000000e+00,  1.000000000000000e+00,  9.610706467614725e-01, -1.224231008180420e+01
t           ,  1.000000000000000e+00,  1.000000000000000e+00, -3.120155556754990e-01, -1.198173611672670e+01
t           ,  1.000000000000000e+00,  1.000000000000000e+00,  5.842831115784329e-01, -1.168822209029217e+01
t           ,  1.000000000000000e+00,  1.000000000000000e+00, -9.956828243905003e-01, -1.144761012473704e+01
t           ,  1.000000000000000e+00,  1.000000000000000e+00,  4.134586871828519e-01, -1.034475549029482e+01
t           ,  1.000000000000000e+00,  1.000000000000000e+00, -1.601165349172350e-01, -9.162111832576137e+00
t           ,  1.000000000000000e+00,  1.000000000000000e+00, -7.196442247751736e-01, -1.472423828312116e+01
t           ,  1.000000000000000e+00,  1.000000000000000e+00, -6.777679755650603e-01, -1.707930129261200e+01
t           ,  1.000000000000000e+00,  1.000000000000000e+00, -9.972292289003437e-01, -1.953659692435348e+01
t           ,  1.000000000000000e+00,  1.000000000000000e+00,  6.597631009046275e-01, -1.093497358372045e+01
