# [(exp(U) + cbrt(M_error)), ((1.0 / M_error) - (R - U))]
# Property Label: $OMR$; Unit of the Property: Unitless
# # Samples in Convex Hull Overlap Region: 2;# Samples SVM Misclassified: 2
# Decision Boundaries
# Task   w0                      w1                      b
# all__1.0_0.0,  4.076069077023594e-01,  2.423650699606898e+00, -4.695682956197200e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         0|exp|2|cbrt|add; (exp(U) + cbrt(M_error)); $\left(\left(\exp{ U }\right) + \left(\sqrt[3]{ M_{error} }\right)\right)$; (exp(U) + nthroot(M_error, 3)); U,M_error
# 1;  2; Unitless;                                         2|inv|3|0|sub|sub; ((1.0 / M_error) - (R - U)); $\left(\left(\frac{1.0}{ M_{error} }\right) - \left(R - U\right)\right)$; ((M_error).^(-1) - (R - U)); M_error,R,U
# Number of Samples Per Task
# Task, n_samples               
# all , 55                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
t           ,  1.000000000000000e+00,  1.000000000000000e+00, -1.814032163933211e+00,  2.083417098135165e-01
t           ,  1.000000000000000e+00,  1.000000000000000e+00, -1.347526725888013e+00,  7.175475774353449e-01
t           ,  1.000000000000000e+00,  1.000000000000000e+00, -1.349727835087821e+00,  1.953315429959273e-01
t           ,  1.000000000000000e+00,  1.000000000000000e+00, -8.419236264280237e-01,  7.102658218042192e-01
t           ,  1.000000000000000e+00,  1.000000000000000e+00, -7.762038769522337e-01,  1.622958944682729e-01
t           ,  1.000000000000000e+00,  1.000000000000000e+00, -2.785595960639342e-01,  6.952718119173125e-01
t           ,  1.000000000000000e+00,  1.000000000000000e+00,  1.068891694293243e+00,  1.207268521721984e+00
t           ,  1.000000000000000e+00,  1.000000000000000e+00,  1.493345513339721e-01, -6.423393923553056e-02
t           ,  1.000000000000000e+00,  1.000000000000000e+00,  3.944946041769430e-01,  6.527347782828704e-01
t           ,  1.000000000000000e+00,  1.000000000000000e+00,  1.689848612986756e+00,  1.186471562492005e+00
t           ,  1.000000000000000e+00,  1.000000000000000e+00,  3.442084318749875e+00,  4.058046230598789e-01
t           ,  1.000000000000000e+00,  1.000000000000000e+00,  1.488513977720660e+00,  1.947377704574557e-01
t           ,  1.000000000000000e+00,  1.000000000000000e+00,  2.370325784109921e+00,  1.126180443281864e+00
t           ,  1.000000000000000e+00,  1.000000000000000e+00,  4.012530303241970e+00,  3.081377518856261e-01
t           ,  1.000000000000000e+00,  1.000000000000000e+00,  4.459283633423785e+00,  9.219230787004868e-01
t           ,  1.000000000000000e+00,  1.000000000000000e+00,  3.129139035118044e+00,  8.282785025537353e-01
t           ,  1.000000000000000e+00,  1.000000000000000e+00, -3.214147279200813e+00,  2.237300223629474e-01
t           ,  1.000000000000000e+00,  1.000000000000000e+00, -2.324947116750401e+00,  7.246300419920445e-01
t           ,  1.000000000000000e+00,  1.000000000000000e+00, -7.301278339758737e-01,  1.225362375066546e+00
t           ,  1.000000000000000e+00,  1.000000000000000e+00, -2.669121290942535e+00,  2.200038492791555e-01
t           ,  1.000000000000000e+00,  1.000000000000000e+00, -1.706067860688972e+00,  7.208795453145601e-01
t           ,  1.000000000000000e+00,  1.000000000000000e+00, -4.052195961485250e-02,  1.221613047079362e+00
t           ,  1.000000000000000e+00,  0.000000000000000e+00,  2.777014393557335e+00,  1.722232650526111e+00
t           ,  1.000000000000000e+00,  1.000000000000000e+00,  5.479782167263458e+00,  2.502106280817457e-01
t           ,  1.000000000000000e+00,  1.000000000000000e+00,  6.522412626824995e+00,  2.410643332570121e-01
t           ,  1.000000000000000e+00,  0.000000000000000e+00,  1.216414775169750e+01,  5.187077909913305e-01
t           ,  1.000000000000000e+00,  1.000000000000000e+00,  3.247703200389809e+00,  3.362473623448620e-01
t           ,  1.000000000000000e+00,  1.000000000000000e+00,  4.841297196810744e+00,  7.018575177943307e-01
t           ,  1.000000000000000e+00,  1.000000000000000e+00, -9.103387919878145e-01, -1.992973499917669e+00
t           ,  1.000000000000000e+00,  1.000000000000000e+00, -1.706285782146701e+00, -1.067146518253945e-01
t           ,  0.000000000000000e+00,  0.000000000000000e+00,  4.247950602215083e+00,  1.700159537481050e+00
t           ,  0.000000000000000e+00,  0.000000000000000e+00,  8.756160623225735e+00,  2.207565505275332e+00
t           ,  0.000000000000000e+00,  0.000000000000000e+00,  1.641509128017918e+01,  2.712203171842124e+00
t           ,  0.000000000000000e+00,  0.000000000000000e+00,  4.824136241319405e+00,  1.673163766668398e+00
t           ,  0.000000000000000e+00,  0.000000000000000e+00,  9.289619345040506e+00,  2.191120267622458e+00
t           ,  0.000000000000000e+00,  0.000000000000000e+00,  1.693109977836066e+01,  2.700566916719148e+00
t           ,  0.000000000000000e+00,  0.000000000000000e+00,  5.233099143580327e+00,  1.632637752696278e+00
t           ,  0.000000000000000e+00,  0.000000000000000e+00,  9.596076950114792e+00,  2.174629205145802e+00
t           ,  0.000000000000000e+00,  0.000000000000000e+00,  1.719001189827226e+01,  2.691233591244856e+00
t           ,  0.000000000000000e+00,  0.000000000000000e+00,  7.488424387561803e+00,  2.222757750711675e+00
t           ,  0.000000000000000e+00,  0.000000000000000e+00,  1.531720918639700e+01,  2.723202453531377e+00
t           ,  0.000000000000000e+00,  0.000000000000000e+00,  7.436548130413296e+00,  7.419464242545057e-01
t           ,  0.000000000000000e+00,  0.000000000000000e+00,  9.032954121147540e+00,  1.243033349803800e+00
t           ,  0.000000000000000e+00,  0.000000000000000e+00,  1.176118927820484e+01,  1.744391276975141e+00
t           ,  0.000000000000000e+00,  0.000000000000000e+00,  1.636194208595461e+01,  2.246123639083561e+00
t           ,  0.000000000000000e+00,  0.000000000000000e+00,  2.405962449024684e+01,  2.748358718519964e+00
t           ,  0.000000000000000e+00,  0.000000000000000e+00,  7.300734045233692e+00,  1.024619706663526e+00
t           ,  0.000000000000000e+00,  0.000000000000000e+00,  1.204282282621656e+01,  2.132383038477650e+00
t           ,  0.000000000000000e+00,  0.000000000000000e+00,  1.266733632411926e+01,  2.171126243442400e+00
t           ,  0.000000000000000e+00,  0.000000000000000e+00,  4.975888590933694e+00,  1.513217459155812e+00
t           ,  0.000000000000000e+00,  0.000000000000000e+00,  3.024013268718233e+01,  3.063863058669490e+00
t           ,  0.000000000000000e+00,  0.000000000000000e+00,  2.232890197723129e+01,  2.771404425224807e+00
t           ,  0.000000000000000e+00,  0.000000000000000e+00,  6.437737356917598e+00,  1.267376325661614e+00
t           ,  0.000000000000000e+00,  0.000000000000000e+00,  4.469234264636052e+01,  3.664527595507441e+00
t           ,  0.000000000000000e+00,  0.000000000000000e+00,  5.383476005409276e+01,  4.004761567522621e+00
